student_name,topic,Note,prompt_id,line_id,n_ones,Order,AssignmentN,Code,Timing,submission_n,submission_id
1,SNA25-Plot and generate networks with AI-716920,,1,1,1,1,1,Instruct,Early,1,1_1_1
1,SNA25-Plot and generate networks with AI-716920,,1,1,1,2,1,Context,Early,1,1_1_1
1,SNA25-Plot and generate networks with AI-716920,,1,1,1,3,1,Specification,Early,1,1_1_1
1,SNA25-Plot and generate networks with AI-716920,,1,2,1,1,1,Instruct,Early,1,1_1_1
1,SNA25-Plot and generate networks with AI-716920,,1,2,1,2,1,Specification,Early,1,1_1_1
1,SNA25-Plot and generate networks with AI-716920,,1,2,1,3,1,Reasoning,Early,1,1_1_1
1,SNA25-Plot and generate networks with AI-716920,,1,3,1,1,1,Specification,Early,1,1_1_1
1,SNA25-Plot and generate networks with AI-716920,,1,4,1,1,1,Specification,Early,1,1_1_1
1,SNA25-Plot and generate networks with AI-716920,,1,5,1,1,1,Instruct,Early,1,1_1_1
1,SNA25-Centrality measurers-716932,"Not in pdf, in shared chat, in spanish",1,1,1,1,2,Instruct,Early,1,1_2_1
1,SNA25-Centrality measurers-716932,"Not in pdf, in shared chat, in spanish",2,1,2,1,2,Instruct,Early,2,1_2_2
1,SNA25-Centrality measurers-716932,"Not in pdf, in shared chat, in spanish",3,1,2,1,2,Refine,Early,3,1_2_3
1,SNA25-Centrality measurers-716932,"Not in pdf, in shared chat, in spanish",4,1,2,1,2,Agreement,Early,4,1_2_4
1,SNA25-Centrality measurers-716932,"Not in pdf, in shared chat, in spanish",5,1,2,1,2,Instruct,Early,5,1_2_5
1,SNA25-Centrality measurers-716932,"Not in pdf, in shared chat, in spanish",6,1,2,1,2,Refine,Early,6,1_2_6
1,SNA25-Centrality measurers-716932,"Not in pdf, in shared chat, in spanish",7,1,2,1,2,Refine,Early,7,1_2_7
1,SNA25-Centrality measurers-716932,"Not in pdf, in shared chat, in spanish",8,1,2,1,2,Critique,Early,8,1_2_8
1,SNA25-Centrality measurers-716932,"Not in pdf, in shared chat, in spanish",9,1,2,1,2,Instruct,Early,9,1_2_9
1,SNA25-Centrality measurers-716932,"Not in pdf, in shared chat, in spanish",10,1,2,1,2,Refine,Early,10,1_2_10
1,SNA25-Centrality measurers-716932,"Not in pdf, in shared chat, in spanish",11,1,2,1,2,Instruct,Early,11,1_2_11
1,SNA25-Centrality measurers-716932,"Not in pdf, in shared chat, in spanish",12,1,2,1,2,Instruct,Early,12,1_2_12
1,SNA25-Centrality measurers-716932,"Not in pdf, in shared chat, in spanish",1,1,1,2,2,Context,Early,1,1_2_1
1,SNA25-Centrality measurers-716932,"Not in pdf, in shared chat, in spanish",2,1,2,2,2,Reasoning,Early,2,1_2_2
